IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
10098,Biossido di Zolfo,µg/m³,697,Borgofranco - loc. Bonizzo,14,MN,Borgofranco sul Po,S,29/11/2006,,4990430,671752,45.04650153816735,11.18093581912755,"(45.04650153816735, 11.18093581912755)",9,9
20034,Biossido di Azoto,µg/m³,693,Sannazzaro de' Burgondi - AGIP,85,PV,Sannazzaro de' Burgondi,N,16/09/2006,,4994371,492461,45.10276627684137,8.90417452771467,"(45.10276627684137, 8.90417452771467)",7,7
12596,Arsenico,ng/m³,609,Casirate d`Adda,108,BG,Casirate d'Adda,N,24/04/2008,,5038450,543458,45.49822713394494,9.556232262351761,"(45.49822713394494, 9.556232262351761)",5,5
12661,Nikel,ng/m³,681,Moggio,1194,LC,Moggio,N,14/06/2008,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",10,10
6787,Biossido di Zolfo,µg/m³,653,Brescia - via Ziziola,125,BS,Brescia,S,15/10/1997,04/01/2012,5040836,595170,45.51455919056731,10.218463502801265,"(45.51455919056731, 10.218463502801265)",6,6
17086,Piombo,ng/m³,569,Sondrio - via Mazzini,307,SO,Sondrio,S,01/04/2008,26/12/2011,5113078,567173,46.16796681227828,9.87014407497457,"(46.16796681227828, 9.87014407497457)",3,3
6234,Ossidi di Azoto,µg/m³,564,Erba - via Battisti,279,CO,Erba,N,13/06/2009,,5072803,517232,45.808573806922965,9.221779204488435,"(45.808573806922965, 9.221779204488435)",2,2
5556,Biossido di Azoto,µg/m³,553,Saronno - via Marconi,211,VA,Saronno,S,23/06/1993,03/12/2003,5052270,502902,45.62396968592561,9.037226525673523,"(45.62396968592561, 9.037226525673523)",1,1
17083,Nikel,ng/m³,569,Sondrio - via Mazzini,307,SO,Sondrio,S,01/04/2008,26/12/2011,5113078,567173,46.16796681227828,9.87014407497457,"(46.16796681227828, 9.87014407497457)",3,3
5739,Ozono,µg/m³,571,Bormio,1225,SO,Bormio,N,29/05/1996,,5147136,605598,46.46952397132585,10.375432759159036,"(46.46952397132585, 10.375432759159036)",3,3
12626,Cadmio,ng/m³,705,Milano - Pascal Città Studi,122,MI,Milano,N,01/04/2008,,5036190,518405,45.47899606168744,9.235491038497502,"(45.47899606168744, 9.235491038497502)",4,4
6618,Particolato Totale Sospeso,µg/m³,588,Tavernola Bergamasca,191,BG,Tavernola Bergamasca,S,08/08/1990,30/03/2004,5063058,581311,45.71629992411727,10.044765999368437,"(45.71629992411727, 10.044765999368437)",5,5
20197,PM10 (SM2005),µg/m³,598,S.Rocco al Porto,50,LO,San Rocco al Porto,N,01/01/2002,,4992297,555154,45.081986696978625,9.70078817718398,"(45.081986696978625, 9.70078817718398)",11,11
6262,Ossidi di Azoto,µg/m³,603,Castiraga,74,LO,Castiraga Vidardo,S,13/01/2000,,5012170,531404,45.26232519992153,9.400281323067924,"(45.26232519992153, 9.400281323067924)",11,11
12625,Arsenico,ng/m³,705,Milano - Pascal Città Studi,122,MI,Milano,N,01/04/2008,,5036190,518405,45.47899606168744,9.235491038497502,"(45.47899606168744, 9.235491038497502)",4,4
6901,Ozono,µg/m³,668,Mantova - Lunetta 2,25,MN,Mantova,S,01/01/2003,01/01/2018,5002119,643358,45.157985278189244,10.823931433968092,"(45.157985278189244, 10.823931433968092)",9,9
5747,Ozono,µg/m³,559,Somma Lombardo - MXP,210,VA,Somma Lombardo,S,21/03/2000,01/01/2018,5055150,477613,45.649537127292405,8.71269145828479,"(45.649537127292405, 8.71269145828479)",1,1
30129,Ammoniaca,µg/m³,631,Piadena,30,CR,Piadena,S,09/07/2013,27/03/2014,4998295,608506,45.12979322367744,10.379831668522419,"(45.12979322367744, 10.379831668522419)",8,8
6856,Ossidi di Azoto,µg/m³,660,Ospitaletto,155,BS,Ospitaletto,S,01/01/1990,30/07/2018,5044985,584681,45.55325139975436,10.084916143968398,"(45.55325139975436, 10.084916143968398)",6,6
5624,Biossido di Zolfo,µg/m³,510,Inzago,138,MI,Inzago,S,14/12/1989,19/02/2010,5043030,538012,45.539768856661,9.486885367436152,"(45.539768856661, 9.486885367436152)",4,4
10449,Particelle sospese PM2.5,µg/m³,560,Varese - via Copelli,383,VA,Varese,N,01/09/2009,,5073728,486035,45.816973233263674,8.820240707158211,"(45.816973233263674, 8.820240707158211)",1,1
20443,Biossido di Azoto,µg/m³,681,Moggio,1194,LC,Moggio,N,16/03/2007,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",10,10
30160,Biossido di Azoto,µg/m³,655,Darfo (aria),221,BS,Darfo Boario Terme,N,13/12/2013,,5080789,591371,45.87460210989037,10.17735680898138,"(45.87460210989037, 10.17735680898138)",6,6
6722,Particolato Totale Sospeso,µg/m³,644,Vigevano - viale  Petrarca,107,PV,Vigevano,S,29/05/2002,05/06/2002,5019220,489053,45.326401500542325,8.860310253579987,"(45.326401500542325, 8.860310253579987)",7,7
10354,PM10 (SM2005),µg/m³,516,Robecchetto,135,MI,Robecchetto con Induno,S,27/06/2008,01/01/2017,5040503,481768,45.51782219008838,8.766562109244964,"(45.51782219008838, 8.766562109244964)",4,4
5653,Biossido di Zolfo,µg/m³,555,Busto Arsizio - via Magenta,222,VA,Busto Arsizio,S,25/05/1991,03/01/2012,5050810,488313,45.610736040012604,8.850115752092071,"(45.610736040012604, 8.850115752092071)",1,1
6702,Biossido di Zolfo,µg/m³,643,Pavia - p.zza Minerva,77,PV,Pavia,S,03/03/2002,11/08/2003,5003660,511522,45.18632908049483,9.146666041286784,"(45.18632908049483, 9.146666041286784)",7,7
5840,Monossido di Carbonio,mg/m³,543,Vimercate,194,MB,Vimercate,S,23/12/1994,01/07/2011,5051330,528723,45.614920870442226,9.368396161785157,"(45.614920870442226, 9.368396161785157)",12,12
5511,Biossido di Azoto,µg/m³,508,Cassano d`Adda - Via di Vona,133,MI,Cassano d'Adda,S,17/12/1984,01/01/2018,5040847,540004,45.52000867032165,9.512220968943545,"(45.52000867032165, 9.512220968943545)",4,4
6690,Ossidi di Azoto,µg/m³,642,Pavia - via Folperti,77,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",7,7
5855,Monossido di Carbonio,mg/m³,537,Lainate,176,MI,Lainate,S,25/09/1991,13/07/2011,5046000,502013,45.56753666798259,9.025796665025974,"(45.56753666798259, 9.025796665025974)",4,4
12615,Cadmio,ng/m³,670,Mantova - S.Agnese,22,MN,Mantova,N,19/02/2008,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",9,9
5549,Biossido di Azoto,µg/m³,546,Magenta,137,MI,Magenta,N,22/04/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)",4,4
9860,Ossidi di Azoto,µg/m³,673,Voghera - via Pozzoni,90,PV,Voghera,N,28/07/2005,,4982900,500665,44.99954598914026,9.008437381815693,"(44.99954598914026, 9.008437381815693)",7,7
5659,Biossido di Zolfo,µg/m³,589,Nembro $,309,BG,Nembro,S,05/06/1991,31/05/2003,5065779,559162,45.743036830343144,9.760535572770022,"(45.743036830343144, 9.760535572770022)",5,5
6330,Ossidi di Azoto,µg/m³,542,Meda,222,MB,Meda,N,01/11/1995,,5056480,512203,45.66176219189168,9.156643984551597,"(45.66176219189168, 9.156643984551597)",12,12
6252,Ossidi di Azoto,µg/m³,576,Merate,279,LC,Merate,N,01/01/1991,,5060569,531623,45.69795198970243,9.406190938686596,"(45.69795198970243, 9.406190938686596)",10,10
6859,Biossido di Azoto,µg/m³,661,Rezzato,147,BS,Rezzato,N,05/08/1992,,5041110,604367,45.51570829484459,10.336240422996532,"(45.51570829484459, 10.336240422996532)",6,6
9993,Biossido di Azoto,µg/m³,682,Ferrera Erbognone - ENI,88,PV,Ferrera Erbognone,N,21/01/2006,,4995567,490094,45.11350314482957,8.874064848882607,"(45.11350314482957, 8.874064848882607)",7,7
5851,Monossido di Carbonio,mg/m³,559,Somma Lombardo - MXP,210,VA,Somma Lombardo,S,20/03/2000,04/01/2012,5055150,477613,45.649537127292405,8.71269145828479,"(45.649537127292405, 8.71269145828479)",1,1
10259,Benzene,µg/m³,569,Sondrio - via Mazzini,307,SO,Sondrio,N,19/09/2006,,5113078,567173,46.16796681227828,9.87014407497457,"(46.16796681227828, 9.87014407497457)",3,3
10323,Ossidi di Azoto,µg/m³,707,Mortara,108,PV,Mortara,S,04/10/2007,01/01/2017,5011280,479925,45.254728720788826,8.74415437971093,"(45.254728720788826, 8.74415437971093)",7,7
